Thématique du Conseil départemental de la Manche,Sous-thématique du Conseil départemental de la Manche,Thématique AT 1,Sous-thématique AT 1,Thématique AT 2,Sous-thématique AT 2,Thématique AT 3,Sous-thématique AT 3
Urbanisme / logement / aménagement,Cimetière / Enclos paroissiaux,Urbanisme / logement / aménagement,Cimetières
Urbanisme / logement / aménagement,Espaces publics,Urbanisme / logement / aménagement,Espace public
Urbanisme / logement / aménagement,Logement et habitat,Urbanisme / logement / aménagement,Logement et habitat
Economie / agriculture / tourisme,Tourisme,Développement économique / production et consommation,Tourisme
Economie / agriculture / tourisme,Economie sociale et solidaire,Développement économique / production et consommation,Economie sociale et solidaire
Economie / agriculture / tourisme,Tiers-lieux,Développement économique / production et consommation,Tiers-lieux
Economie / agriculture / tourisme,Commerces,Développement économique / production et consommation,Commerces et Services
Eau et milieux aquatiques,Assainissement des eaux,Eau et milieux aquatiques,Assainissement des eaux
Mobilité / transports,Mobilités,Mobilité / transports,Modes actifs : vélo, marche et aménagements associés
Nature / environnement,Biodiversité,Nature / environnement,Biodiversité
Services aux publics / cohésion sociale / Enfance / Jeunesse / Santé/Education,Accès aux services,Solidarités / lien social,Accès aux services
Services aux publics / cohésion sociale / Enfance / Jeunesse / Santé/Education,Cohésion sociale,Solidarités / lien social,Cohésion sociale et inclusion
Services aux publics / cohésion sociale / Enfance / Jeunesse / Santé/Education,Famille et enfance,Solidarités / lien social,Famille et enfance
Services aux publics / cohésion sociale / Enfance / Jeunesse / Santé/Education,Jeunesse,Solidarités / lien social,Jeunesse
Services aux publics / cohésion sociale / Enfance / Jeunesse / Santé/Education,Santé,Solidarités / lien social,Santé
Culture / patrimoine / sports,Sports,Culture et identité collective / patrimoine / sports,Sports et loisirs
Culture / patrimoine / sports,Pratiques artistiques et culturelles,Culture et identité collective / patrimoine / sports,Culture et identité collective,Culture et identité collective / patrimoine / sports,Culture et identité collective,Culture et identité collective / patrimoine / sports,Spectacle vivant,Culture et identité collective / patrimoine / sports,Arts plastiques et photographie
Culture / patrimoine / sports,Bibliothèques,Culture et identité collective / patrimoine / sports,Bibliothèques et livres
Culture / patrimoine / sports,Petit patrimoine vernaculaire / Patrimoine et monuments historiques,Culture et identité collective / patrimoine / sports,Patrimoine et monuments historiques
Culture / patrimoine / sports,Scolaire,Culture et identité collective / patrimoine / sports,Education et renforcement des compétences
